ADAL,AB plapaaaapp,Ring interneuron
ADAR,AB prapaaaapp,Ring interneuron
ADEL,AB plapaaaapa,"Anterior deirid, sensory neuron"
ADER,AB prapaaaapa,"Anterior deirid, sensory neuron"
ADFL,AB alpppppaa,Amphid neuron
ADFR,AB praaappaa,Amphid neuron
ADLL,AB alppppaad,Amphid neuron
ADLR,AB praaapaad,Amphid neuron
AFDL,AB alpppapav,Amphid finger cell
AFDR,AB praaaapav,Amphid finger cell
AIAL,AB plppaappa,Amphid interneuron
AIAR,AB prppaappa,Amphid interneuron
AIBL,AB plaapappa,Amphid interneuron
AIBR,AB praapappa,Amphid interneuron
AIML,AB plpaapppa,Ring interneuron
AIMR,AB prpaapppa,Ring interneuron
AINL,AB alaaaalal,Ring interneuron
AINR,AB alaapaaar,Ring interneuron
AIYL,AB plpapaaap,Amphid interneuron
AIYR,AB prpapaaap,Amphid interneuron
AIZL,AB plapaaapav,Amphid interneuron
AIZR,AB prapaaapav,Amphid interneuron
ALA,AB alapppaaa,"Neuron, sends processes laterally and along dorsal cord"
ALML,AB arppaappa,Anterior lateral microtubule cell
ALMR,AB arpppappa,Anterior lateral microtubule cell
ALNL,AB plapappppap,Neuron associated with ALM
ALNR,AB prapappppap,Neuron associated with ALM
AQR,QR.ap,"Neuron, basal body. not part of a sensillum, projects into ring"
AS1,P1.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
AS2,P2.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
AS3,P3.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
AS4,P4.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
AS5,P5.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
AS6,P6.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
AS7,P7.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
AS8,P8.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
AS9,P9.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
AS10,P10.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
AS11,P11.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
ASEL,AB alppppppaa,"Amphid neurons, single ciliated endings"
ASER,AB praaapppaa,"Amphid neurons, single ciliated endings"
ASGL,AB plaapapap,"Amphid neurons, single ciliated endings"
ASGR,AB praapapap,"Amphid neurons, single ciliated endings"
ASHL,AB plpaappaa,"Amphid neurons, single ciliated endings"
ASHR,AB prpaappaa,"Amphid neurons, single ciliated endings"
ASIL,AB plaapapppa,"Amphid neurons, single ciliated endings"
ASIR,AB praapapppa,"Amphid neurons, single ciliated endings"
ASJL,AB alpppppppa,"Amphid neurons, single ciliated endings"
ASJR,AB praaappppa,"Amphid neurons, single ciliated endings"
ASKL,AB alpppapppa,"Amphid neurons, single ciliated endings"
ASKR,AB praaaapppa,"Amphid neurons, single ciliated endings"
AUAL,AB alpppppppp,"Neuron, process runs with amphid processes but lacks ciliated ending"
AUAR,AB praaappppp,"Neuron, process runs with amphid processes but lacks ciliated ending"
AVAL,AB alppaaapa,Ventral cord interneuron
AVAR,AB alaappapa,Ventral cord interneuron
AVBL,AB plpaapaap,Ventral cord interneuron
AVBR,AB prpaapaap,Ventral cord interneuron
AVDL,AB alaaapalr,Ventral cord interneuron
AVDR,AB alaaapprl,Ventral cord interneuron
AVEL,AB alpppaaaa,"Ventral cord interneuron, like AVD but outputs restricted to anterior cord"
AVER,AB praaaaaaa,"Ventral cord interneuron, like AVD but outputs restricted to anterior cord"
AVFL,P1.aaaa/ W.aaa,Interneuron
AVFR,P1.aaaa/ W.aaa,Interneuron
AVG,AB prpapppap,Ventral cord interneuron
AVHL,AB alapaaaaa,"Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring"
AVHR,AB alappapaa,"Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring"
AVJL,AB alapapppa,"Neuron, synapses like AVHL/R"
AVJR,AB alapppppa,"Neuron, synapses like AVHL/R"
AVKL,AB plpapapap,Ring and ventral cord interneuron
AVKR,AB prpapapap,Ring and ventral cord interneuron
AVL,AB prpappaap,Ring and ventral cord interneuron and an excitatory GABAergic motor neuron for rectal muscles. Few synapses
AVM,QR.paa,"Anterior ventral microtubule cell, touch receptor"
AWAL,AB plaapapaa,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath"
AWAR,AB praapapaa,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath"
AWBL,AB alpppppap,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath"
AWBR,AB praaappap,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath"
AWCL,AB plpaaaaap,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath"
AWCR,AB prpaaaaap,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath"
BAGL,AB alppappap,"Neuron, ciliated ending in head, no supporting cells, associated with ILso"
BAGR,AB arappppap,"Neuron, ciliated ending in head, no supporting cells, associated with ILso"
BDUL,AB arppaappp,"Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles"
BDUR,AB arpppappp,"Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles"
CA1,P3.aapa,"Male specific cells, ventral cord, not constructed"
CA2,P4.aapa,"Male specific cells, ventral cord, not constructed"
CA3,P5.aapa,"Male specific cells, ventral cord, not constructed"
CA4,P6.aapa,"Male specific neuron, ventral cord, innervates dorsal muscles"
CA5,P7.aapa,"Male specific neuron, ventral cord, innervates dorsal muscles"
CA6,P8.aapa,"Male specific neuron, ventral cord, innervates dorsal muscles"
CA7,P9.aapa,"Male specific neuron, ventral cord, innervates dorsal muscles"
CA8,P10.aapa,"Male specific cell, ventral cord, neuron-like but lacks synapses"
CA9,P11.aapa,"Male specific cell, ventral cord, neuron-like but lacks synapses"
CANL,AB alapaaapa,"Process runs along excretory canal, no synapses, essential for survival"
CANR,AB alappappa,"Process runs along excretory canal, no synapses, essential for survival"
CEMDL,AB plaaaaaap,"Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite"
CEMDR,AB arpapaaap,"Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite"
CEMVL,AB plpaapapp,"Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite"
CEMVR,AB prpaapapp,"Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite"
CEPDL,AB plaaaaappa,"Cephalic neurons, contain dopamine"
CEPDR,AB arpapaappa,"Cephalic neurons, contain dopamine"
CEPVL,AB plpaappppa,"Cephalic neurons, contain dopamine"
CEPVR,AB prpaappppa,"Cephalic neurons, contain dopamine"
CP0,P2.aap,Male specific neuron in ventral cord
CP1,P3.aapp,Male specific neuron in ventral cord
